Lat,Lon
38.05508,-85.16095
38.050365,-85.11539
38.045647,-85.069855
38.04091,-85.02432
38.03614,-84.97879
38.031364,-84.93329
38.02656,-84.88776
38.02175,-84.842255
38.016914,-84.79675
38.01207,-84.75125
38.00719,-84.70575
38.002308,-84.66028
37.9974,-84.61481
37.992477,-84.569336
37.98754,-84.523865
37.98258,-84.478424
37.977608,-84.43295
37.972607,-84.38751
37.96759,-84.34207
37.962563,-84.29663
37.957508,-84.25122
37.952454,-84.20581
37.947365,-84.1604
37.94226,-84.11499
37.937138,-84.06958
37.932003,-84.02417
37.92685,-83.97879
37.921677,-83.93341
37.91648,-83.88806
37.911274,-83.84268
37.90605,-83.7973
37.9008,-83.75195
37.89553,-83.706604
37.89025,-83.661255
37.884956,-83.61594
37.87964,-83.57062
37.87431,-83.52527
37.86896,-83.47998
37.863586,-83.43466
37.858196,-83.38937
37.852783,-83.344055
37.84737,-83.29877
37.841934,-83.25351
37.836464,-83.20822
37.83099,-83.162964
37.825493,-83.11771
37.81999,-83.07245
37.81445,-83.02722
37.808907,-82.981964
37.80334,-82.93674
37.797756,-82.89151
37.792152,-82.84628
37.786533,-82.80109
37.7809,-82.75586
37.775246,-82.71069
37.76956,-82.6655
37.763874,-82.6203
37.758183,-82.575134
37.75245,-82.52997
37.746708,-82.4848
37.740944,-82.43964
37.735165,-82.3945
37.729366,-82.349365
37.723557,-82.30423
37.717724,-82.259125
37.711872,-82.21399
37.706005,-82.168884
37.70012,-82.12378
37.694218,-82.078674
37.688293,-82.0336
37.682354,-81.988525
37.676403,-81.94345
37.670433,-81.89838
37.664436,-81.85333
37.658424,-81.80829
37.6524,-81.763245
37.646362,-81.7182
37.640293,-81.67316
37.634216,-81.62814
37.628113,-81.58313
37.622005,-81.53815
37.61587,-81.49313
37.609722,-81.44815
37.603554,-81.40317
37.597374,-81.358215
37.591167,-81.31323
37.584946,-81.26828
37.578712,-81.22333
37.57245,-81.178375
37.566185,-81.13345
37.55989,-81.0885
37.553577,-81.04361
37.547253,-80.99869
37.540916,-80.9538
37.534546,-80.908875
37.52817,-80.86401
