Lat,Lon
40.007572,-82.10486
40.001656,-82.05829
39.995724,-82.01172
39.989773,-81.96515
39.983803,-81.91858
39.97783,-81.87201
39.971825,-81.82547
39.965805,-81.77893
39.95976,-81.73239
39.953705,-81.68585
39.947628,-81.63934
39.941536,-81.592834
39.93542,-81.54636
39.92929,-81.49985
39.923134,-81.45337
39.916973,-81.40689
39.910786,-81.36041
39.904583,-81.313965
39.898357,-81.26752
39.892124,-81.22107
39.885864,-81.17465
39.879585,-81.128235
39.873287,-81.08179
39.86699,-81.0354
39.860653,-80.98901
39.8543,-80.9426
39.847935,-80.89624
39.84154,-80.84985
39.83514,-80.80347
39.82872,-80.75714
39.822277,-80.710785
39.815826,-80.66443
39.80934,-80.6181
39.802853,-80.57178
39.796345,-80.52545
39.78981,-80.47916
39.78326,-80.43286
39.776684,-80.386566
39.770103,-80.3403
39.7635,-80.29401
39.75688,-80.24774
39.750237,-80.20151
39.743587,-80.15527
39.736904,-80.10901
39.73021,-80.062805
39.723495,-80.0166
39.71677,-79.97037
39.710022,-79.924164
39.703255,-79.87799
39.696465,-79.83179
39.689667,-79.785645
39.68285,-79.73947
39.67601,-79.6933
39.669155,-79.647156
39.662273,-79.60101
39.655384,-79.5549
39.64847,-79.50879
39.64154,-79.46265
39.634598,-79.416565
39.627636,-79.37048
39.62065,-79.3244
39.61365,-79.27832
39.60663,-79.23224
39.599594,-79.18619
39.592533,-79.14014
39.585464,-79.09412
39.578377,-79.048096
39.57127,-79.002075
39.564137,-78.956055
39.55699,-78.910065
39.549835,-78.864075
39.542645,-78.818085
39.535454,-78.772125
39.528236,-78.726166
39.521004,-78.68021
39.51375,-78.63428
39.50648,-78.58832
39.49919,-78.54242
39.491886,-78.49649
39.484562,-78.45059
39.47722,-78.40469
39.469856,-78.358826
39.462482,-78.31293
39.455082,-78.26706
39.44768,-78.22122
39.440243,-78.175354
39.432793,-78.12952
39.425323,-78.08371
39.417843,-78.0379
39.410336,-77.992065
39.402817,-77.94629
39.395275,-77.90051
39.38772,-77.85474
39.38015,-77.80896
39.372562,-77.76318
39.36495,-77.71744
39.357315,-77.67169
39.349674,-77.62598
39.34201,-77.58026
39.334335,-77.534546
39.326633,-77.48883
39.318913,-77.44318
39.311184,-77.39749
39.303425,-77.35181
39.29566,-77.30615
39.28787,-77.2605
39.28007,-77.214874
39.272236,-77.16925
39.264404,-77.12363
39.256542,-77.078
39.24867,-77.03241
39.240772,-76.98682
39.23287,-76.94125
39.224937,-76.89569
39.21699,-76.85013
39.20902,-76.804596
39.201042,-76.75903
39.19304,-76.71353
39.185024,-76.66803
39.176987,-76.6225
39.168934,-76.57703
39.160866,-76.531525
39.152767,-76.48605
39.14467,-76.44058
